method,num_objects,num_threads,time
Async,100,10,1.3946869373321533
Threading,100,10,1.7015149593353271
Async,100,30,1.5679771900177002
Threading,100,30,3.455972671508789
Async,100,75,2.0218780040740967
Threading,100,75,7.92121696472168
Async,300,10,3.0786640644073486
Threading,300,10,3.2193009853363037
Async,300,30,1.5354690551757812
Threading,300,30,3.7671620845794678
Async,300,75,1.280052900314331
Threading,300,75,8.210992813110352
Async,1000,10,9.487936973571777
Threading,1000,10,8.12552809715271
Async,1000,30,4.9169018268585205
Threading,1000,30,5.253482103347778
Async,1000,75,4.286586761474609
Threading,1000,75,9.7548348903656
Async,3000,10,31.62039613723755
Threading,3000,10,27.752481937408447
Async,3000,30,15.468838691711426
Threading,3000,30,11.612580299377441
Async,3000,75,9.475659132003784
Threading,3000,75,14.18202805519104
Async,10000,10,120.15209698677063
Threading,10000,10,96.71346306800842
Async,10000,30,44.40479898452759
Threading,10000,30,36.24710822105408
Async,10000,75,34.6355459690094
Threading,10000,75,41.061970233917236
Async,30000,10,339.21080493927
Threading,30000,10,308.7067120075226
Async,30000,30,151.92846012115479
Threading,30000,30,118.1525330543518
Async,30000,75,92.48635601997375
Threading,30000,75,96.42899775505066
